BALANCE SHEET,2019,2020,2021,2022,2023,2024,2025,2026,2027
Cash and cash equivalents,6070281,8186156,11487778,3491097,2108477.0,,,,
Trade receivables,22962376,15101882,45471210,33243357,20697788.51,23796316.847185247,30916091.536957785,32771057.029175255,34737320.450925775
Due from related parties,35490307,53628084,53587438,42428779,48641429.19,41733207.02842766,54219636.4633754,57472814.65117793,60921183.53024861
Inventories,7828942,2857376,8384088,11025259,11386244.0,-3851070.263305274,5198944.85546212,-7018575.554873862,9475076.999079715
Prepayments and other receivables,2066640,3617257,3810333,3665841,24903230.0,-4201460.880478268,5671972.188645661,-7657162.454671643,10337169.313806718
Current Assets,74418546,83390755,122740847,93854333,107737168.7,,,,
Property and equipment,691950,657985,674682,633170,577677.0,720478.7544,720478.7544,720478.7544,720478.7544
Investments at fair value through profit or loss,42000000,66660000,63360000,0,0.0,,,,
Equity accounted investment,5066858,9230354,7228702,0,0.0,,,,
Other receivables,0,0,0,312929,312929.0,,,,
Non-Current Assets,47758808,76548339,71263384,946099,890606.0,,,,
TOTAL ASSETS,122177354,159939094,194004231,94800432,108627774.7,,,,
Short-term borrowings,8000000,1999967,3503341,1829681,1800546.0,1800546.0,1800546.0,1800546.0,1800546.0
Trade payables,20821238,26835169,31992027,7442767,9307202.0,6928675.579137731,-9353712.031835938,12627511.242978517,-17047140.178021
Accrued expenses and other liabilities,14278662,20979376,27350693,23032528,36455930.0,10977957.54647741,-14820242.687744504,20007327.62845508,-27009892.298414364
Due to related parties,228582,6037582,105888084,39585926,44757262.0,-34127696.01165078,-44338583.17727295,-46998898.16790933,-49818832.0579839
Zakat payable,367704,966901,0,3204831,3070057.0,0.0,0.0,0.0,0.0
Current Liabilities,43696186,56818995,168734145,75095733,95390997.0,,,,
Employee termination benefits,3577126,3546330,3853781,4423820,4143125.0,,,,
Due to related parties(Current Liabilities),65954760,72686534,0,0,0.0,,,,
Non-Current Liabilities,69531886,76232864,3853781,4423820,4143125.0,,,,
Share capital,2000000,2000000,2000000,2000000,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0
Statutory reserve,1000000,1000000,1000000,1000000,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
Retained earnings,5949282,23887235,18416305,12280879,6093653.0,6093653.0,6093653.0,6093653.0,6093653.0
Shareholders' Equity,8949282,26887235,21416305,15280879,9093653.0,,,,
TOTAL LIABILITIES & EQUITY,122177354,159939094,194004231,94800432,108627775.0,,,,
